ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesTerritoryKey,SalesOrderNumber,OrderQuantity,UnitPrice,ExtendedAmount,DiscountAmount,ProductStandardCost,SalesAmount,TaxAmt,Freight
477,2014-01-26,2014-02-07,2014-02-02,22356,4,SO75042,1,4.99,4.99,0,1.8663,4.99,0.3992,0.1248
477,2014-01-26,2014-02-07,2014-02-02,17584,4,SO75047,1,4.99,4.99,0,1.8663,4.99,0.3992,0.1248
477,2014-01-26,2014-02-07,2014-02-02,13338,4,SO75059,1,4.99,4.99,0,1.8663,4.99,0.3992,0.1248
477,2014-01-23,2014-02-04,2014-01-30,18070,4,SO74955,1,4.99,4.99,0,1.8663,4.99,0.3992,0.1248
477,2014-01-23,2014-02-04,2014-01-30,17697,4,SO74956,1,4.99,4.99,0,1.8663,4.99,0.3992,0.1248
477,2014-01-23,2014-02-04,2014-01-30,16245,4,SO74958,1,4.99,4.99,0,1.8663,4.99,0.3992,0.1248
477,2014-01-21,2014-02-02,2014-01-28,18505,4,SO74897,1,4.99,4.99,0,1.8663,4.99,0.3992,0.1248
477,2014-01-20,2014-02-01,2014-01-27,20466,4,SO74863,1,4.99,4.99,0,1.8663,4.99,0.3992,0.1248
477,2014-01-20,2014-02-01,2014-01-27,18073,4,SO74865,1,4.99,4.99,0,1.8663,4.99,0.3992,0.1248
477,2014-01-20,2014-02-01,2014-01-27,16768,4,SO74866,1,4.99,4.99,0,1.8663,4.99,0.3992,0.1248
477,2014-01-19,2014-01-31,2014-01-26,16962,4,SO74826,1,4.99,4.99,0,1.8663,4.99,0.3992,0.1248
477,2014-01-17,2014-01-29,2014-01-24,13033,4,SO74781,1,4.99,4.99,0,1.8663,4.99,0.3992,0.1248
477,2014-01-16,2014-01-28,2014-01-23,18419,4,SO74735,1,4.99,4.99,0,1.8663,4.99,0.3992,0.1248
